codigo,jurisdicao,abreviacao,nome_completo,nome_alternativo,norma_criacao
PE-08,br;pe,CBHUNA,CBH Una,,
PI-01,br;pi,CBHRCP,CBH dos Rios Canindé e Piauí,,Dec. 13.585
PR-01,br;pr,CBHCOALIAR,CBH do Alto Iguaçu e Afluentes do Alto Ribeira,,Dec. 5.878
PR-02,br;pr,CBHRJ,CBH do Rio Jordão,CBH do Rio Tibagi,Dec. 5.361
PR-03,br;pr,CBHPR3,CBH do Paraná III,CBH do Rio Jordão,Dec. 5.790
PR-04,br;pr,CBHP3E4,"CBH dos Rio Pirapó, Rio Paranapanema 3 e Paranapanema 4",CBH Paraná III,Dec. 2.924
PR-05,br;pr,CBHTIG,CBH Rio Tibagi,"CBH dos Rios Pirapó, Paranapanema 3 e Paranapanema 4",Dec. 2.245
PR-06,br;pr,CBHCIP,"CBH dos Rios Cinzas, Itararé, Paranapanema 1 e 2",CBH Norte Pioneiro,Dec. 5.427
RJ-01,br;rj,CBH - Lagos São João,"CBH das Lagoas de Araruama, Saquarema e dos rios São João e Una",CBH do Rio Guandu,Dec. 31.178
RJ-02,br;rj,CBH - R2R,CBH do Rio Dois Rios,CBH Lagos São João,Dec. 36.733
RJ-03,br;rj,CBH - BG,CBH da Região Hidrográfica da Baia de Guanabara e dos Sistemas Lagunares de Maricá e Jacarepaguá,CBH dos Rios Macaé e das Ostras,Dec. 34.243
RJ-04,br;rj,CBH - Guandu,"CBH dos Rios Guandu, Da Guarda e Guandu Mirim",CBH do Rio Piabanha,Dec. 38.235
RJ-05,br;rj,CBH - BIG,CBH da Região Hidrográfica da Baía de Ilha Grande,CBH da Baia de Guanabara,Dec. 38.260
RJ-06,br;rj,CBH - Macaé Ostras,CBH dos Rios Macaé e das Ostras,CBH Rio Dois Rios,Dec. 41.472
RJ-07,br;rj,CBH - MPS,CBH do Médio Paraíba do Sul,CBH Médio Paraíba do Sul,Dec. 41.475
RJ-08,br;rj,CBH BPSI,CBH do Baixo Paraíba do Sul e Itabapoana,CBH Baixo Paraíba do Sul e Itabapoana,Dec. 41.720
RJ-09,br;rj,CBH - Piabanha,CBH do Rio Piabanha e das Sub-Bacias Hidrográficas dos Rios Paquequer e Preto (Comitê Piabanha),CBH da Baía da Ilha Grande,Dec. 43.226
RN-01,br;rn,CBH AM,CBH do Rio Apodi-Mossoró,CBH do Rio Pitimbu,Dec. 17.789
RN-02,br;rn,CBHRCM,CBH do Rio Ceará-Mirim,,Dec. 21.779
RN-03,br;rn,CBHRPT,CBH do Rio Pitimbu,CBH do Rio Apodi-Mossoró,Dec. 21.881
RS-01,br;rs,CBHAI,CBH Apuaê-Inhandava,CBH dos Rios Turvo-Santa Rosa-Santo Cristo,Dec. 41.325
RS-02,br;rs,CBHRBI,CBH dos Rios Butuí-Icamaquã,CBH do Rio Ijuí,Dec. 40.916
RS-03,br;rs,CBHCAI,CBH do Rio Caí,CBH dos Rios Taquari e Antas,Dec. 38.558
RS-04,br;rs,CBHRCAM,CBH do Rio Camaquã,CBH do Rio Ibicuí,Dec. 40.226
RS-05,br;rs,CBH COAJU,CBH COAJU,CBH dos Rios Vacacaí e Vacacaí-Mirim,Dec. 39.639
RS-06,br;rs,CBHRGHY,CBH do Rio Gravatahy,CBH do Rio Baixo Jacuí,Dec. 40.225
RS-07,br;rs,CBHLGUA,CBH do Lago Guaíba,CBH do Rio Alto Jacuí,Dec. 40.822
RS-08,br;rs,CBHRIV,CBH do Rio Ibicuí,CBH do Rio Pardo,Dec. 39.116
RS-09,br;rs,CBHRIJ,CBH do Rio Ijuí,CBH do Rio Caí,Dec. 38.903
RS-10,br;rs,CBHAJC,CBH do Alto Jacuí,CBH do Rio Tramandaí,Dec. 39.637
RS-11,br;rs,CBHBJC,CBH do Baixo Jacuí,CBH de Santa Maria,Dec. 35.103
RS-12,br;rs,CBHLM,CBH Litoral Médio,CBH do Rio dos Sinos,Dec. 32.774
RS-13,br;rs,CBHMM,CBH Mampituba,CBH do Lago Guaíba,Dec. 38.989
RS-14,br;rs,CBHLMCSG,CBH da Lagoa Mirim e do Canal São Gonçalo,CBH do Rio Apuaê-Inhandava,Dec. 41.490
RS-15,br;rs,CBH Negro,CBH Negro,CBH do Rio Gravataí,Dec. 33.125
RS-16,br;rs,CBHQ,CBH Quarai,CBH do Rio Camaquã,Dec. 39.638
RS-17,br;rs,CBHRP,CBH do Rio Pardo,CBH de Passo Fundo,Dec. 42.961
RS-18,br;rs,CBHRPF,CBH do Rio Passo Fundo,CBH da Lagoa Mirim e Canal São Gonçalo,Dec. 44.327
RS-19,br;rs,CBHRPI,CBH do Rio Piratinim,CBH do Butuí-Icamaquã,Dec. 44.401
RS-20,br;rs,CBHRSM,CBH do Rio Santa Maria,CBH do Piratinim,Dec. 44.270
RS-21,br;rs,CBHLSB,CBH do Lago de Sobradinho,CBH do Várzea,Dec. 43.488
RS-22,br;rs,CBHSINOS,CBH do Rio dos Sinos – Comitesinos,CBH do Litoral Médio,Dec. 45.460
RS-23,br;rs,CBHTQ,CBH Taquari-Antas,CBH do Rio Negro,Dec. 45.531
RS-24,br;rs,CBHRTRA,CBH do Rio Tramandaí,CBH do Rio Quaraí,Dec. 45.606
RS-25,br;rs,CBHTUBLAG,CBH do Rio Tubarão e Complexo Lagunar,CBH do Rio Mampituba,Dec. 49.834
RS-26,br;rs,CBH IJUI,"CBH dos Rios Turvo, Santa Rosa, Santo Cristo",,
RS-27,br;rs,CBHRVACMR,CBH dos Rios Vacacaí e Vacacaí-Mirim,,
RS-28,br;rs,CBH VARZEA,CBH do Rio da Várzea,,
SC-01,br;sc,CBH ARARANGUÁ,CBH do Rio Araranguá,CBH do Rio Itajaí,Dec. 2.109
SC-02,br;sc,CBH CAMBORIÚ,CBH do Rio Camboriú,CBH do Rio Itapocu,Dec. 2.919
SC-03,br;sc,CBH CANOAS,CBH do Rio Canoas,CBH do Rio Cubatão do Sul,Dec. 3.943
SC-04,br;sc,CBH CANOINHAS,CBH do Rio Canoinhas,CBH do Rio Araranguá,Dec. 3.620
SC-05,br;sc,CBH CHAPECÓ E IRANI,CBH do Rio Chapecó Irani,CBH do Rio Timbó,Dec. 4.295
SC-06,br;sc,CBH CUBATÃO,CBH do Rio Cubatão Do Sul,CBH do Rio Canoas,Dec. 3.515
SC-07,br;sc,CBH CUBATÃO E CACHOEIRA,CBH dos Rios Cubatão e Cachoeira,CBH do Rio Camburiú,Dec. 2.444
SC-08,br;sc,CBH DAS ANTAS,CBH do Rio Das Antas e Bacias Contíguas,CBH da Lagoa da Conceição,Dec. 1.808
SC-09,br;sc,CBH PEIXE,CBH do Rio do Peixe,CBH do Rio Tubarão e Complexo Lagunar,Dec. 2.285
SC-10,br;sc,CBH ITAJAI,CBH do Rio Itajaí,CBH do Rio do Peixe,Dec. 2.772
SC-11,br;sc,CBH ITAPOCU,CBH do Rio Itapocu,CBH do Rio Tijucas,Dec. 2.918
SC-12,br;sc,CBH JACUTINGA,CBH do Rio Jacutinga e Bacias Hidrográficas Contíguas,CBH do Rio Cubatão Norte e Cachoeira,Dec. 3.391 alterado pelo Dec. 2.211
SC-13,br;sc,CBH TIJUCAS,CBH do Rio Tijucas,CBH do Rio Jacutinga,Dec. 652
SC-14,br;sc,CBH TIMBÓ,CBH do Rio Timbó,CBH do Rio Canoinhas,Dec. 828
SC-15,br;sc,CBH TUBARÃO,CBH do Rio Tubarão e Complexo Lagunar,CBH do Rio das Antas,Dec. 653
SC-16,br;sc,CBH URUSSANGA,CGBH do Rio Urussanga,CBH do Rio Urussanga,Dec. 4.934
SE-01,br;se,CBHRJP,CBH do Rio Japaratuba,CBH do Rio Sergipe,Dec. 20.778
SE-02,br;se,CBHLIT,CBH do Litoral,CBH do Rio Piauí,Dec. 23.375
SE-03,br;se,CBHPI,CBH do Rio Piauí,CBH do Rio Japaratuba,Dec. 24.650
SE-04,br;se,CBHRSE,CBH do Rio Sergipe,,
SP-01,br;sp,CBH DOS RIOS AGUAPEI E PEIXE,CBH dos Rios Aguapei e Peixe,CBH da Serra da Mantiqueira,Lei 7.663/91
SP-02,br;sp,CBH DA BAIXADA SANTISTA,CBH da Baixada Santista,CBH do Sapucaí-Mirim e Grande,Lei 7.663/91
SP-03,br;sp,CBH MÉDIO PARANAPANEMA,CBH do Médio Paranapanema,CBH do Rio Mogi-Guaçu,Lei 7.663/91
SP-04,br;sp,CBH DO ALTO PARANAPANEMA,CBH do Alto Paranapanema,CBH dos Rios Sorocaba e Médio Tietê,Lei 7.663/91
SP-05,br;sp,CBH DO RIO PARAÍBA DO SUL,CBH do Rio Paraíba do Sul,CBH do Litoral Norte,Lei 7.663/91
SP-06,br;sp,CBH-PARDO,CBH do Pardo,CBH do Baixo Pardo-Grande,Lei 7.663/91
SP-07,br;sp,CBH DO RIO SÃO JOSÉ DOS DOURADOS,CBH do Rio São José dos Dourados,CBH do Alto Paranapanema,Lei 7.663/91
SP-08,br;sp,CBH DO BAIXO PARDO/GRANDE,CBH do Baixo Pardo/Grande,CBH dos Rios Turvo e Grande,Lei 7.663/91
SP-09,br;sp,CBH DO PONTAL DO PARANAPANEMA,CBH do Pontal do Paranapanema,CBH do Tietê-Batalha,Lei 7.663/91
SP-10,br;sp,CBHPG,CBH do Rio Piranga,CBH do Médio Paranapanema,Lei 7.663/91
SP-11,br;sp,CBH-LITORAL NORTE,CBH do Litoral Norte,CBH do São José dos Dourados,Lei 7.663/91
SP-12,br;sp,CBH DA SERRA DA MANTIQUEIRA,CBH da Serra da Mantiqueira,CBH do Baixo Tietê,Lei 7.663/91
SP-13,br;sp,CBH DO RIO MOGI-GUAÇU,CBH do Rio Mogi-Guaçu,CBH dos Rios Aguapeí e Peixe,Lei 7.663/91
SP-14,br;sp,CBH DO RIBEIRA DE IGUAPE E LITORAL SUL,CBH do Ribeira de Iguape e Litoral Sul,CBH do Paraíba do Sul,Lei 9.034/94
SP-15,br;sp,CBH DO SAPUCAÍ MIRIM/GRANDE,CBH do Sapucaí Mirim/Grande,CBH do Alto Tietê,Lei 7.663/91
SP-16,br;sp,CBH DO RIO SOROCABA E MÉDIO TIETÊ,CBH do Rio Sorocaba e Médio Tietê,CBH do Tietê/Jacareí,Lei 7.663/91
SP-17,br;sp,CBH DO BAIXO TIETÊ,CBH do Baixo Tietê,CBH da Baixada Santista,Lei 9.034/94
SP-18,br;sp,CBH DO ALTO TIETÊ,CBH do Alto Tietê,CBH do Ribeira de Iguape e Litoral Sul,Lei 7.663/91
SP-19,br;sp,CBH DO TIETÊ BATALHA,CBH do Tietê Batalha,"CBH do Piracicaba, Capivari, Jundiaí",Lei 7.663/91
SP-20,br;sp,CBH DO TIETÊ JACARÉ,CBH do Tietê Jacaré,CBH do Pontal do Paranapanema,Lei 7.663/91
SP-21,br;sp,CBH DO RIO TURVO/GRANDE,CBH do Rio Turvo/Grande,CBH do Rio Pardo,Lei 7.663/91
TO-01,br;to,CBH DO RIO FORMOSO,CBH DO RIO FORMOSO,CBH do Rio Manuel Alves da Natividade,Dec. 4.252
TO-02,br;to,COMITÊ DA BACIA HIDROGRÁFICA DO LAGO DE PALMAS,COMITÊ DA BACIA HIDROGRÁFICA DO LAGO DE PALMAS,CBH do Rio Formoso do Araguaia,Dec. 4.253
TO-03,br;to,CBH DOS RIOS LONTRA E CORDA,CBH dos Rios Lontra e Corda,CBH do Entorno do Lago de Palmas,Dec. 4.434
TO-04,br;to,CBH DO RIO MANUEL ALVES,CBH DO RIO MANUEL ALVES,CBH dos Rios Lontra e Corda,Dec. 4.906
